point;90.4%;(2272, 1676, 2432, 1765);14240;(2352.0, 1720.5);
point;89.0%;(1402, 1492, 1542, 1560);9520;(1472.0, 1526.0);
point;78.4%;(1182, 1269, 1303, 1322);6413;(1242.5, 1295.5);
pointa;66.7%;(1248, 1008, 1357, 1050);4578;(1302.5, 1029.0);
barrier;58.5%;(167, 960, 334, 1419);76653;(250.5, 1335.5);
pointa;52.9%;(2245, 1191, 2375, 1245);7020;(2310.0, 1218.0);
wall;51.5%;(701, 1370, 785, 1639);22596;(743.0, 1504.5);
point;33.5%;(768, 812, 907, 851);5421;(837.5, 831.5);
wall;24.2%;(179, 959, 337, 1423);73312;(258.0, 1191.0);
wall;11.4%;(1702, 881, 1881, 1262);68199;(1791.5, 1071.5);
